Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      9.48     0.00    24968     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::__normal_iterator(double* const&)
  0.00      9.48     0.00    20999     0.00     0.00  addInd(std::vector<double, std::allocator<double> > (&) [1][4], int, int, double (&) [1024][2], std::vector<int, std::allocator<int> > (&) [1][2])
  0.00      9.48     0.00    20850     0.00     0.00  ConvertToDec(int (&) [10])
  0.00      9.48     0.00    20850     0.00     0.00  Bin_recursive(int, int, int (&) [10])
  0.00      9.48     0.00    20850     0.00     0.00  ConvertToBinary(int, int, int (&) [10])
  0.00      9.48     0.00    20850     0.00     0.00  mutation(std::vector<double, std::allocator<double> > (&) [1][4], double, int, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      9.48     0.00    19576     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::base() const
  0.00      9.48     0.00    17955     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int>(int*, int&&)
  0.00      9.48     0.00    17955     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int>(std::allocator<int>&, int*, int&&)
  0.00      9.48     0.00    17955     0.00     0.00  void std::vector<int, std::allocator<int> >::emplace_back<int>(int&&)
  0.00      9.48     0.00    17955     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int&&)
  0.00      9.48     0.00    13800     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator+(long) const
  0.00      9.48     0.00    11040     0.00     0.00  double* std::__niter_base<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >)
  0.00      9.48     0.00     5584     0.00     0.00  std::vector<double, std::allocator<double> >::end()
  0.00      9.48     0.00     5584     0.00     0.00  std::vector<double, std::allocator<double> >::begin()
  0.00      9.48     0.00     5520     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::base() const
  0.00      9.48     0.00     5520     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > std::__miter_base<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >)
  0.00      9.48     0.00     2760     0.00     0.00  void __gnu_cxx::new_allocator<double>::destroy<double>(double*)
  0.00      9.48     0.00     2760     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::__normal_iterator(double const* const&)
  0.00      9.48     0.00     2760     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::__normal_iterator<double*>(__gnu_cxx::__normal_iterator<double*, __gnu_cxx::__enable_if<std::__are_same<double*, double*>::__value, std::vector<double, std::allocator<double> > >::__type> const&)
  0.00      9.48     0.00     2760     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::difference_type __gnu_cxx::operator-<double const*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > const&, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > const&)
  0.00      9.48     0.00     2760     0.00     0.00  bool __gnu_cxx::operator!=<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&)
  0.00      9.48     0.00     2760     0.00     0.00  std::vector<double, std::allocator<double> >::cbegin() const
